timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
168692000,168688000,4000000.0,1.0,0.020916333,11.0587635,0.0,255,0,6,4,0,0,0,0,1,1,37
169176000,0,4000000.0,1.0,0.0,25.658365,0.0,0,0,0,0,0,2,0,0,1,1,43
169688000,169684000,4000000.0,1.0,0.020916333,10.983067,0.0,255,0,6,4,0,0,0,0,1,1,37
170176000,0,4000000.0,1.0,0.0,25.75199,0.0,0,0,0,0,0,2,0,0,1,1,43
170688000,170684000,4000000.0,1.0,0.020916333,11.148405,0.0,255,0,6,4,0,0,0,0,1,1,37
171176000,0,4000000.0,1.0,0.0,25.633465,0.0,0,0,0,0,0,2,0,0,1,1,43
171688000,170684000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
172176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
172684000,172684000,4000000.0,1.0,0.046812747,11.125497,0.0,255,0,6,4,0,0,0,0,1,1,37
173176000,0,4000000.0,1.0,0.0,25.657368,0.0,0,0,0,0,0,2,0,0,1,1,43
173684000,173680000,4000000.0,1.0,0.020916333,10.977091,0.0,255,0,6,4,0,0,0,0,1,1,37
174176000,0,4000000.0,1.0,0.0,25.507965,0.0,0,0,0,0,0,2,0,0,1,1,43
174680000,174676000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
175176000,0,4000000.0,1.0,0.0,25.58964,0.0,0,0,0,0,0,2,0,0,1,1,43
175680000,175680000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
176176000,0,4000000.0,1.0,0.0,25.56673,0.0,0,0,0,0,0,2,0,0,1,1,43
176680000,176676000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
177176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
177680000,177676000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
178176000,0,4000000.0,1.0,0.0,25.773903,0.0,0,0,0,0,0,2,0,0,1,1,43
178676000,178676000,4000000.0,1.0,0.020916333,11.132469,0.0,255,0,6,4,0,0,0,0,1,1,37
179176000,0,4000000.0,1.0,0.0,25.870516,0.0,0,0,0,0,0,2,0,0,1,1,43
179676000,179672000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
180176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
180676000,180672000,4000000.0,1.0,0.020916333,11.148405,0.0,255,0,6,4,0,0,0,0,1,1,37
181176000,0,4000000.0,1.0,0.0,25.633465,0.0,0,0,0,0,0,2,0,0,1,1,43
181676000,181672000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
182176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
182672000,182668000,4000000.0,1.0,0.046812747,11.125497,0.0,255,0,6,4,0,0,0,0,1,1,37
183176000,0,4000000.0,1.0,0.0,25.697208,0.0,0,0,0,0,0,2,0,0,1,1,43
183660000,183656000,4000000.0,1.0,0.020916333,10.977091,0.0,255,0,6,4,0,0,0,0,1,1,37
184176000,0,4000000.0,1.0,0.0,25.507965,0.0,0,0,0,0,0,2,0,0,1,1,43
184660000,184660000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
185176000,0,4000000.0,1.0,0.0,25.60458,0.0,0,0,0,0,0,2,0,0,1,1,43
185660000,184660000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
186176000,0,4000000.0,1.0,0.0,25.56673,0.0,0,0,0,0,0,2,0,0,1,1,43
186660000,186656000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
187176000,0,4000000.0,1.0,0.0,25.790834,0.0,0,0,0,0,0,2,0,0,1,1,43
187660000,187656000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
188176000,0,4000000.0,1.0,0.0,25.590635,0.0,0,0,0,0,0,2,0,0,1,1,43
188660000,188656000,4000000.0,1.0,0.020916333,11.161354,0.0,255,0,6,4,0,0,0,0,1,1,37
189176000,0,4000000.0,1.0,0.0,25.5747,0.0,0,0,0,0,0,2,0,0,1,1,43
189656000,189652000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
190176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
190656000,190652000,4000000.0,1.0,0.020916333,11.148405,0.0,255,0,6,4,0,0,0,0,1,1,37
191176000,0,4000000.0,1.0,0.0,25.673304,0.0,0,0,0,0,0,2,0,0,1,1,43
191656000,191652000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
192176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
192652000,192652000,4000000.0,1.0,0.046812747,11.125497,0.0,255,0,6,4,0,0,0,0,1,1,37
193176000,0,4000000.0,1.0,0.0,25.657368,0.0,0,0,0,0,0,2,0,0,1,1,43
193652000,193648000,4000000.0,1.0,0.020916333,10.977091,0.0,255,0,6,4,0,0,0,0,1,1,37
194176000,0,4000000.0,1.0,0.0,25.59163,0.0,0,0,0,0,0,2,0,0,1,1,43
194648000,194644000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
195176000,0,4000000.0,1.0,0.0,25.818724,0.0,0,0,0,0,0,2,0,0,1,1,43
195648000,195644000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
196176000,0,4000000.0,1.0,0.0,25.56673,0.0,0,0,0,0,0,2,0,0,1,1,43
196648000,196644000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
197176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
197644000,197640000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
198176000,0,4000000.0,1.0,0.0,25.590635,0.0,0,0,0,0,0,2,0,0,1,1,43
198644000,197640000,4000000.0,1.0,0.020916333,11.132469,0.0,255,0,6,4,0,0,0,0,1,1,37
199176000,0,4000000.0,1.0,0.0,25.5747,0.0,0,0,0,0,0,2,0,0,1,1,43
199644000,199640000,4000000.0,1.0,0.03884462,11.531872,0.0,255,0,6,4,0,0,0,0,1,1,37
200176000,0,4000000.0,1.0,0.0,25.522905,0.0,0,0,0,0,0,2,0,0,1,1,43
200644000,200640000,4000000.0,1.0,0.020916333,11.148405,0.0,255,0,6,4,0,0,0,0,1,1,37
201176000,0,4000000.0,1.0,0.0,25.633465,0.0,0,0,0,0,0,2,0,0,1,1,43
201640000,201636000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
202176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
202640000,202640000,4000000.0,1.0,0.046812747,11.125497,0.0,255,0,6,4,0,0,0,0,1,1,37
203176000,0,4000000.0,1.0,0.0,25.945217,0.0,0,0,0,0,0,2,0,0,1,1,43
203640000,203636000,4000000.0,1.0,0.020916333,10.977091,0.0,255,0,6,4,0,0,0,0,1,1,37
204176000,0,4000000.0,1.0,0.0,25.803783,0.0,0,0,0,0,0,2,0,0,1,1,43
204636000,204632000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
205176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
205636000,205632000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
206176000,0,4000000.0,1.0,0.0,25.56673,0.0,0,0,0,0,0,2,0,0,1,1,43
206632000,206628000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
207176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
207632000,207628000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
208176000,0,4000000.0,1.0,0.0,25.630476,0.0,0,0,0,0,0,2,0,0,1,1,43
208632000,208628000,4000000.0,1.0,0.020916333,11.132469,0.0,255,0,6,4,0,0,0,0,1,1,37
209176000,0,4000000.0,1.0,0.0,25.62948,0.0,0,0,0,0,0,2,0,0,1,1,43
209632000,209628000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
210176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
210628000,210628000,4000000.0,1.0,0.020916333,11.148405,0.0,255,0,6,4,0,0,0,0,1,1,37
211176000,0,4000000.0,1.0,0.0,25.633465,0.0,0,0,0,0,0,2,0,0,1,1,43
211628000,211624000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
212176000,0,4000000.0,1.0,0.0,25.724102,0.0,0,0,0,0,0,2,0,0,1,1,43
212628000,212624000,4000000.0,1.0,0.046812747,11.125497,0.0,255,0,6,4,0,0,0,0,1,1,37
213176000,0,4000000.0,1.0,0.0,25.657368,0.0,0,0,0,0,0,2,0,0,1,1,43
213628000,213624000,4000000.0,1.0,0.020916333,10.977091,0.0,255,0,6,4,0,0,0,0,1,1,37
214176000,0,4000000.0,1.0,0.0,25.507965,0.0,0,0,0,0,0,2,0,0,1,1,43
214628000,214624000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
215176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
215624000,215620000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
216176000,0,4000000.0,1.0,0.0,25.606571,0.0,0,0,0,0,0,2,0,0,1,1,43
216624000,216620000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
217176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
217624000,217620000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
218176000,0,4000000.0,1.0,0.0,25.590635,0.0,0,0,0,0,0,2,0,0,1,1,43
218620000,218616000,4000000.0,1.0,0.020916333,11.132469,0.0,255,0,6,4,0,0,0,0,1,1,37
219176000,0,4000000.0,1.0,0.0,25.658365,0.0,0,0,0,0,0,2,0,0,1,1,43
219620000,219616000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
220176000,0,4000000.0,1.0,0.0,25.75199,0.0,0,0,0,0,0,2,0,0,1,1,43
220620000,220616000,4000000.0,1.0,0.020916333,11.148405,0.0,255,0,6,4,0,0,0,0,1,1,37
221176000,0,4000000.0,1.0,0.0,25.633465,0.0,0,0,0,0,0,2,0,0,1,1,43
221616000,221612000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
222176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
222616000,222612000,4000000.0,1.0,0.046812747,11.125497,0.0,255,0,6,4,0,0,0,0,1,1,37
223176000,0,4000000.0,1.0,0.0,25.657368,0.0,0,0,0,0,0,2,0,0,1,1,43
223616000,223612000,4000000.0,1.0,0.020916333,10.977091,0.0,255,0,6,4,0,0,0,0,1,1,37
224176000,0,4000000.0,1.0,0.0,25.562746,0.0,0,0,0,0,0,2,0,0,1,1,43
224616000,224612000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
225176000,0,4000000.0,1.0,0.0,25.534859,0.0,0,0,0,0,0,2,0,0,1,1,43
225612000,225608000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
226176000,0,4000000.0,1.0,0.0,25.56673,0.0,0,0,0,0,0,2,0,0,1,1,43
226612000,226608000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
227176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
227612000,227608000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
228176000,0,4000000.0,1.0,0.0,26.014938,0.0,0,0,0,0,0,2,0,0,1,1,43
228608000,228604000,4000000.0,1.0,0.020916333,11.373505,0.0,255,0,6,4,0,0,0,0,1,1,37
229176000,0,4000000.0,1.0,0.0,25.62948,0.0,0,0,0,0,0,2,0,0,1,1,43
229608000,229604000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
230176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
230604000,230600000,4000000.0,1.0,0.020916333,11.148405,0.0,255,0,6,4,0,0,0,0,1,1,37
231176000,0,4000000.0,1.0,0.0,25.633465,0.0,0,0,0,0,0,2,0,0,1,1,43
231604000,231600000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
232176000,0,4000000.0,1.0,0.0,25.483065,0.0,0,0,0,0,0,2,0,0,1,1,43
232604000,232600000,4000000.0,1.0,0.046812747,11.125497,0.0,255,0,6,4,0,0,0,0,1,1,37
233176000,0,4000000.0,1.0,0.0,25.697208,0.0,0,0,0,0,0,2,0,0,1,1,43
233600000,233596000,4000000.0,1.0,0.020916333,10.977091,0.0,255,0,6,4,0,0,0,0,1,1,37
234176000,0,4000000.0,1.0,0.0,25.562746,0.0,0,0,0,0,0,2,0,0,1,1,43
234600000,234596000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
235176000,0,4000000.0,1.0,0.0,25.549799,0.0,0,0,0,0,0,2,0,0,1,1,43
235600000,235596000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
236176000,0,4000000.0,1.0,0.0,25.56673,0.0,0,0,0,0,0,2,0,0,1,1,43
236596000,236592000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
237176000,0,4000000.0,1.0,0.0,25.790834,0.0,0,0,0,0,0,2,0,0,1,1,43
237596000,237592000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
238176000,0,4000000.0,1.0,0.0,25.590635,0.0,0,0,0,0,0,2,0,0,1,1,43
238596000,238592000,4000000.0,1.0,0.020916333,11.132469,0.0,255,0,6,4,0,0,0,0,1,1,37
239176000,0,4000000.0,1.0,0.0,25.62948,0.0,0,0,0,0,0,2,0,0,1,1,43
239596000,239592000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
240176000,0,4000000.0,1.0,0.0,25.480078,0.0,0,0,0,0,0,2,0,0,1,1,43
240596000,240592000,4000000.0,1.0,0.21713145,11.263944,0.0,255,0,6,4,0,0,0,0,1,1,37
241176000,0,4000000.0,1.0,0.0,25.802786,0.0,0,0,0,0,0,2,0,0,1,1,43
241592000,241588000,4000000.0,1.0,0.020916333,11.038844,0.0,255,0,6,4,0,0,0,0,1,1,37
242176000,0,4000000.0,1.0,0.0,25.5996,0.0,0,0,0,0,0,2,0,0,1,1,43
242592000,242588000,4000000.0,1.0,0.046812747,11.254979,0.0,255,0,6,4,0,0,0,0,1,1,37
243176000,0,4000000.0,1.0,0.0,25.78685,0.0,0,0,0,0,0,2,0,0,1,1,43
243588000,243588000,4000000.0,1.0,0.020916333,11.093624,0.0,255,0,6,4,0,0,0,0,1,1,37
244176000,0,4000000.0,1.0,0.0,25.708164,0.0,0,0,0,0,0,2,0,0,1,1,43
244588000,244584000,4000000.0,1.0,0.020916333,11.194222,0.0,255,0,6,4,0,0,0,0,1,1,37
245176000,0,4000000.0,1.0,0.0,25.948204,0.0,0,0,0,0,0,2,0,0,1,1,43
245584000,245580000,4000000.0,1.0,0.020916333,11.17231,0.0,255,0,6,4,0,0,0,0,1,1,37
