timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
846296000,-0.019125298,-0.029495358,-0.05262187,0.006526947,0.06403303,-0.002960205,-0.0005121082,0.0034551024,-0.0022491217,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26615128,0.2667183,0.5731588,1.0955046,1.0963594,4.056992,0.002507808,0.0025050614,0.0025026754,0.09013244,0.0,0.0,0.0,0.0,0.0,0.0001246617,0.0036222977,0.0072858953,0.0,0.0,0.0,0.0,0.0,0.0
846496000,-0.0059136897,-0.0155797005,-0.03354034,0.011875153,0.054478645,0.027923584,-0.0010827146,0.0039223135,0.001649648,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26623902,0.26690292,0.57322216,1.0950238,1.0959364,4.0569663,0.0025078298,0.0025048659,0.0025026242,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00012899109,0.0031031026,0.0066384044,0.0,0.0,0.0,0.0,0.0,0.0
846696000,0.01780922,-0.0050145388,-0.012893774,0.0049858093,0.040063858,-0.13763428,-0.001330073,0.0011941046,0.0020048618,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.2663989,0.26715276,0.5731964,1.0946088,1.0955825,4.057149,0.0025077143,0.0025048093,0.0025025844,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00012946836,0.0025043804,0.0061066914,0.0,0.0,0.0,0.0,0.0,0.0
846896000,0.0023994967,0.024024725,-0.018318709,-0.0014801025,0.028485537,-0.021606445,-0.0018374184,0.0009777099,0.0010606945,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26660717,0.26745492,0.5732624,1.0942317,1.0952829,4.0571213,0.0025075248,0.0025048226,0.0025025262,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00011286423,0.0012933104,0.0045203893,0.0,0.0,0.0,0.0,0.0,0.0
847096000,-0.010607824,0.028131247,-0.009509368,-0.00022888184,0.02514553,-0.012237549,-0.003494002,0.0003475845,0.0014911294,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26686436,0.26779652,0.57323825,1.0939188,1.0950485,4.0570955,0.0025073467,0.0025048247,0.0025024642,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00011919726,0.0004569361,0.0023453394,0.0,0.0,0.0,0.0,0.0,0.0
847296000,-0.014230678,0.02217108,0.0073533487,-0.0037956238,0.018141508,-0.0687561,-0.0015039816,-0.0018871427,0.0016879141,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26713827,0.26813883,0.5732145,1.0936446,1.0948639,4.057279,0.002507207,0.0025047818,0.00250243,0.09013244,0.0,0.0,0.0,0.0,0.0,0.0001363865,0.0009972265,0.0031539537,0.0,0.0,0.0,0.0,0.0,0.0
847496000,-0.0043795556,0.0056224465,-0.05653064,-0.0015411377,0.0008711815,-0.071502686,-0.0012049861,-0.00268282,-0.00047701597,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26743624,0.2684845,0.57328093,1.0934343,1.0947373,4.0572557,0.0025070717,0.0025047369,0.0025023916,0.09013244,0.0,0.0,0.0,0.0,0.0,6.581336e-05,0.00090800127,0.0037056261,0.0,0.0,0.0,0.0,0.0,0.0
847696000,0.015340146,-0.008272111,-0.0017561428,-0.0058784485,0.006808758,0.0067443848,0.0018957965,0.0003657192,9.75728e-05,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26771423,0.26880917,0.57325846,1.0932622,1.0946547,4.05713,0.0025069541,0.0025046875,0.0025023567,0.09013244,0.0,0.0,0.0,0.0,0.0,5.4823806e-05,0.0017615213,0.0052112145,0.0,0.0,0.0,0.0,0.0,0.0
847896000,-0.013554126,0.029339492,-0.022718158,-0.0043411255,0.0059337616,0.015380859,0.00027279928,0.003401816,-0.0035334826,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.2679822,0.2691099,0.5733268,1.0931386,1.094617,4.057414,0.0025068398,0.0025046621,0.0025023222,0.09013244,0.0,0.0,0.0,0.0,0.0,3.769839e-05,0.0009736181,0.0040828167,0.0,0.0,0.0,0.0,0.0,0.0
848096000,-0.04075831,0.025575936,0.015991561,-0.015045166,-0.00067305565,-0.0018005371,-0.0022314265,-0.000107601285,0.0002667904,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26824006,0.26937962,0.5733045,1.0930724,1.0946237,4.057292,0.0025067334,0.0025046254,0.0025022968,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00015967328,0.0025333457,0.0063554295,0.0,0.0,0.0,0.0,0.0,0.0
