timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
4188000,487.71405,32.0,95602.484,1.1359156
4196000,487.62158,32.0,95603.52,1.135928
4204000,487.57666,32.0,95604.03,1.135934
4216000,487.72464,32.0,95602.35,1.1359141
4224000,487.35733,32.0,95606.555,1.135964
4236000,487.53967,32.0,95604.48,1.1359394
4244000,487.70612,32.0,95602.555,1.1359165
4256000,487.6242,32.0,95603.49,1.1359277
4264000,487.52908,32.0,95604.59,1.1359407
4276000,487.7854,32.0,95601.66,1.1359059
4284000,487.5106,32.0,95604.805,1.1359432
4296000,487.63742,32.0,95603.35,1.135926
4304000,487.6665,32.0,95603.016,1.135922
4316000,487.60837,32.0,95603.68,1.1359298
4324000,487.53174,32.0,95604.555,1.1359403
4336000,487.57138,32.0,95604.12,1.1359351
4344000,487.62952,32.0,95603.43,1.1359268
4356000,487.64536,32.0,95603.24,1.1359247
4364000,487.66913,32.0,95602.99,1.1359217
4376000,487.80917,32.0,95601.375,1.1359025
4384000,487.48947,32.0,95605.05,1.1359462
4396000,487.67706,32.0,95602.9,1.1359205
4404000,487.4921,32.0,95605.01,1.1359457
4416000,487.52908,32.0,95604.586,1.1359407
4424000,487.6559,32.0,95603.13,1.1359234
4436000,487.71933,32.0,95602.414,1.1359148
4444000,487.69556,32.0,95602.664,1.1359178
4456000,487.72992,32.0,95602.27,1.1359131
4464000,487.6348,32.0,95603.38,1.1359264
4476000,487.83295,32.0,95601.1,1.1358992
4484000,487.69028,32.0,95602.734,1.1359186
4496000,487.65063,32.0,95603.195,1.1359241
4504000,487.79596,32.0,95601.54,1.1359044
4516000,487.59515,32.0,95603.82,1.1359315
4524000,487.58722,32.0,95603.91,1.1359326
4536000,487.67706,32.0,95602.88,1.1359204
4544000,487.611,32.0,95603.664,1.1359297
4556000,487.62952,32.0,95603.43,1.1359268
4564000,487.6533,32.0,95603.164,1.1359237
4576000,487.7035,32.0,95602.58,1.1359168
4584000,487.71933,32.0,95602.41,1.1359147
4596000,487.48947,32.0,95605.03,1.1359459
4604000,487.64536,32.0,95603.24,1.1359247
4616000,487.53967,32.0,95604.47,1.1359392
4624000,487.7352,32.0,95602.234,1.1359127
4636000,487.52908,32.0,95604.58,1.1359406
4644000,487.57138,32.0,95604.12,1.1359351
4656000,487.65063,32.0,95603.19,1.135924
4664000,487.78806,32.0,95601.625,1.1359055
4676000,487.78012,32.0,95601.71,1.1359065
4684000,487.61365,32.0,95603.625,1.1359292
4696000,487.6744,32.0,95602.914,1.1359208
4704000,487.50797,32.0,95604.81,1.1359433
4716000,487.6533,32.0,95603.164,1.1359237
4724000,487.61365,32.0,95603.61,1.135929
4736000,487.57138,32.0,95604.1,1.1359348
4744000,487.56873,32.0,95604.14,1.1359353
4756000,487.52646,32.0,95604.62,1.135941
4764000,487.52908,32.0,95604.59,1.1359407
4776000,487.56873,32.0,95604.13,1.1359353
4784000,487.66385,32.0,95603.04,1.1359223
4796000,487.58987,32.0,95603.89,1.1359323
4804000,487.722,32.0,95602.38,1.1359144
4816000,487.53967,32.0,95604.46,1.1359391
4824000,487.71933,32.0,95602.414,1.1359148
4844000,487.81445,32.0,95601.33,1.1359019
