timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
44940000,0.0035359997,0.0,0.0
45140000,0.0023134176,0.0,0.0
45344000,0.0042089713,0.0,0.0
45544000,0.0034163138,0.0,0.0
45744000,0.001933359,0.0,0.0
45944000,0.0062514534,0.0,0.0
46140000,0.0037316876,0.0,0.0
46340000,0.0034241704,0.0,0.0
46540000,0.0022638198,0.0,0.0
46740000,0.006715529,0.0,0.0
46940000,0.000982798,0.0,0.0
47140000,0.004265096,0.0,0.0
47340000,0.0031248957,0.0,0.0
47540000,0.0032184229,0.0,0.0
47740000,0.00705633,0.0,0.0
47940000,0.002100652,0.0,0.0
48140000,0.0058399527,0.0,0.0
48340000,0.0012613666,0.0,0.0
48544000,0.0034776523,0.0,0.0
48740000,0.0029600358,0.0,0.0
48940000,0.004528661,0.0,0.0
49140000,0.003711634,0.0,0.0
49340000,0.0073148757,0.0,0.0
49540000,0.0018906647,0.0,0.0
49740000,0.0028390966,0.0,0.0
49944000,0.0020147313,0.0,0.0
50140000,0.0038285481,0.0,0.0
50340000,0.0040637646,0.0,0.0
50540000,0.0033896535,0.0,0.0
50744000,0.0037259136,0.0,0.0
50944000,0.0035648553,0.0,0.0
51140000,0.003549535,0.0,0.0
51344000,0.0036655504,0.0,0.0
51540000,0.0019693135,0.0,0.0
51740000,0.0035438417,0.0,0.0
51940000,0.0032425316,0.0,0.0
52140000,0.0047929157,0.0,0.0
52340000,0.0021000574,0.0,0.0
52540000,0.0025098629,0.0,0.0
52740000,0.002143977,0.0,0.0
52940000,0.0055889813,0.0,0.0
53144000,0.0054903105,0.0,0.0
53340000,0.0018010209,0.0,0.0
53540000,0.0018750542,0.0,0.0
53740000,0.004737529,0.0,0.0
53944000,0.004603988,0.0,0.0
54140000,0.0037501932,0.0,0.0
54344000,0.0035725136,0.0,0.0
54540000,0.0047246083,0.0,0.0
54740000,0.0022923676,0.0,0.0
54944000,0.004217956,0.0,0.0
55144000,0.0065391376,0.0,0.0
55344000,0.002138571,0.0,0.0
55540000,0.002974722,0.0,0.0
55740000,0.0038227865,0.0,0.0
55944000,0.0031583249,0.0,0.0
56140000,0.0010693395,0.0,0.0
56340000,0.00115638,0.0,0.0
56540000,0.0027946732,0.0,0.0
56740000,0.0023441592,0.0,0.0
56940000,0.01126705,0.0,0.0
57144000,0.0029744802,0.0,0.0
57344000,0.0029947527,0.0,0.0
57540000,0.004778238,0.0,0.0
57740000,0.0040587066,0.0,0.0
57944000,0.0010315694,0.0,0.0
58140000,0.0014233743,0.0,0.0
58344000,0.0018253519,0.0,0.0
58540000,0.004582523,0.0,0.0
58740000,0.004184943,0.0,0.0
58944000,0.0034247413,0.0,0.0
59140000,0.0034714702,0.0,0.0
59340000,0.0015335645,0.0,0.0
59540000,0.007556444,0.0,0.0
59740000,0.0032943473,0.0,0.0
59944000,0.0017818058,0.0,0.0
60144000,0.0013045686,0.0,0.0
60340000,0.0057303994,0.0,0.0
60540000,0.0062149507,0.0,0.0
60744000,0.00394342,0.0,0.0
60940000,0.002214476,0.0,0.0
61140000,0.0036070854,0.0,0.0
61340000,0.0018659408,0.0,0.0
61544000,0.0039813416,0.0,0.0
61740000,0.003285982,0.0,0.0
61940000,0.00398662,0.0,0.0
62140000,0.002077132,0.0,0.0
62340000,0.0017733965,0.0,0.0
62540000,0.0047281724,0.0,0.0
62744000,0.0021655536,0.0,0.0
62944000,0.002126473,0.0,0.0
63140000,0.006432433,0.0,0.0
63340000,0.0025952954,0.0,0.0
63540000,0.010087513,0.0,0.0
63740000,0.0071935104,0.0,0.0
63940000,0.0023153278,0.0,0.0
64143999,0.009151057,0.0,0.0
64348000,0.020858534,0.0,0.0
64544000,0.01420609,0.0,0.0
64747999,0.021073831,0.0,0.0
64948000,0.011643895,0.0,0.0
65148000,0.014902646,0.0,0.0
65351999,0.008806206,0.0,0.0
65552000,0.013041733,0.0,0.0
65752000,0.015497865,0.0,0.0
65955999,0.014434862,0.0,0.0
66156000,0.007332111,0.0,0.0
66356000,0.011310216,0.0,0.0
66564000,0.011540917,0.0,0.0
66764000,0.014227628,0.0,0.0
66960000,0.008611987,0.0,0.0
67160000,0.0054244236,0.0,0.0
67364000,0.013779072,0.0,0.0
67560000,0.004630902,0.0,0.0
67760000,0.006111637,0.0,0.0
67960000,0.008870438,0.0,0.0
68164000,0.0052340417,0.0,0.0
68360000,0.002706383,0.0,0.0
68564000,0.0011022445,0.0,0.0
68760000,0.0049127666,0.0,0.0
68960000,0.004780683,0.0,0.0
69160000,0.006600527,0.0,0.0
69360000,0.0050522485,0.0,0.0
69560000,0.0033309977,0.0,0.0
69764000,0.002797341,0.0,0.0
69960000,0.003906479,0.0,0.0
70160000,0.002538894,0.0,0.0
70360000,0.0035606932,0.0,0.0
70564000,0.0023833255,0.0,0.0
70760000,0.0021803437,0.0,0.0
70960000,0.00052754645,0.0,0.0
71164000,0.00651164,0.0,0.0
71360000,0.00576047,0.0,0.0
71560000,0.004055017,0.0,0.0
71760000,0.0024808438,0.0,0.0
71960000,0.004425557,0.0,0.0
72160000,0.0041831145,0.0,0.0
72360000,0.010944276,0.0,0.0
72564000,0.0023724022,0.0,0.0
72764000,0.0011360339,0.0,0.0
72960000,0.0033658526,0.0,0.0
73160000,0.0007944512,0.0,0.0
73360000,0.0048093586,0.0,0.0
73560000,0.0011741942,0.0,0.0
73760000,0.0032625264,0.0,0.0
73964000,0.0072316653,0.0,0.0
74160000,0.0014313969,0.0,0.0
74360000,0.004953738,0.0,0.0
74564000,0.009254852,0.0,0.0
74764000,0.0045767827,0.0,0.0
74960000,0.0030145298,0.0,0.0
75160000,0.0042386656,0.0,0.0
75360000,0.0016651016,0.0,0.0
75564000,0.012890851,0.0,0.0
75760000,0.0033179983,0.0,0.0
75964000,0.00356328,0.0,0.0
76160000,0.004716732,0.0,0.0
76364000,0.0010498515,0.0,0.0
76560000,0.0112200575,0.0,0.0
76760000,0.0034680343,0.0,0.0
76964000,0.0052752504,0.0,0.0
77160000,0.0076185428,0.0,0.0
77364000,0.0036427828,0.0,0.0
77564000,0.002692059,0.0,0.0
77760000,0.0033300323,0.0,0.0
77960000,0.002077255,0.0,0.0
78164000,0.008849625,0.0,0.0
