timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
162380000,inf,0,0,0,0,0
163380000,inf,0,0,0,0,0
164380000,inf,0,0,0,0,0
165380000,inf,0,0,0,0,0
166380000,inf,0,0,0,0,0
167380000,inf,0,0,0,0,0
168380000,inf,0,0,0,0,0
169380000,inf,0,0,0,0,0
170380000,inf,0,0,0,0,0
171380000,inf,0,0,0,0,0
172380000,inf,0,0,0,0,0
173380000,inf,0,0,0,0,0
174380000,inf,0,0,0,0,0
175380000,inf,0,0,0,0,0
176380000,inf,0,0,0,0,0
177380000,inf,0,0,0,0,0
178380000,inf,0,0,0,0,0
179380000,inf,0,0,0,0,0
180380000,inf,0,0,0,0,0
181380000,inf,0,0,0,0,0
182380000,inf,0,0,0,0,0
183380000,inf,0,0,0,0,0
184380000,inf,0,0,0,0,0
185380000,inf,0,0,0,0,0
186380000,inf,0,0,0,0,0
187380000,inf,0,0,0,0,0
188380000,inf,0,0,0,0,0
189380000,inf,0,0,0,0,0
190380000,inf,0,0,0,0,0
191380000,inf,0,0,0,0,0
192380000,inf,0,0,0,0,0
193380000,inf,0,0,0,0,0
194380000,inf,0,0,0,0,0
195380000,inf,0,0,0,0,0
196380000,inf,0,0,0,0,0
197380000,inf,0,0,0,0,0
198380000,inf,0,0,0,0,0
199380000,inf,0,0,0,0,0
200380000,inf,0,0,0,0,0
201380000,inf,0,0,0,0,0
202380000,inf,0,0,0,0,0
203380000,inf,0,0,0,0,0
204380000,inf,0,0,0,0,0
205380000,inf,0,0,0,0,0
206380000,inf,0,0,0,0,0
207380000,inf,0,0,0,0,0
208380000,inf,0,0,0,0,0
209380000,inf,0,0,0,0,0
210380000,inf,0,0,0,0,0
211380000,inf,0,0,0,0,0
212380000,inf,0,0,0,0,0
213380000,inf,0,0,0,0,0
214380000,inf,0,0,0,0,0
215380000,inf,0,0,0,0,0
216380000,inf,0,0,0,0,0
217380000,inf,0,0,0,0,0
218380000,inf,0,0,0,0,0
219380000,inf,0,0,0,0,0
220380000,inf,0,0,0,0,0
221380000,inf,0,0,0,0,0
222380000,inf,0,0,0,0,0
223380000,inf,0,0,0,0,0
224380000,inf,0,0,0,0,0
225380000,inf,0,0,0,0,0
226380000,inf,0,0,0,0,0
227380000,inf,0,0,0,0,0
228380000,inf,0,0,0,0,0
229380000,inf,0,0,0,0,0
230380000,inf,0,0,0,0,0
231380000,inf,0,0,0,0,0
232380000,inf,0,0,0,0,0
233380000,inf,0,0,0,0,0
234380000,inf,0,0,0,0,0
235380000,inf,0,0,0,0,0
236380000,inf,0,0,0,0,0
237380000,inf,0,0,0,0,0
238380000,inf,0,0,0,0,0
239380000,inf,0,0,0,0,0
240380000,inf,0,0,0,0,0
241380000,inf,0,0,0,0,0
242380000,inf,0,0,0,0,0
243380000,inf,0,0,0,0,0
244380000,inf,0,0,0,0,0
245380000,inf,0,0,0,0,0
246380000,inf,0,0,0,0,0
247380000,inf,0,0,0,0,0
248380000,inf,0,0,0,0,0
249380000,inf,0,0,0,0,0
250380000,inf,0,0,0,0,0
251380000,inf,0,0,0,0,0
252380000,inf,0,0,0,0,0
253380000,inf,0,0,0,0,0
254380000,inf,0,0,0,0,0
255380000,inf,0,0,0,0,0
256400000,inf,0,0,0,0,0
257400000,inf,0,0,0,0,0
258400000,inf,0,0,0,0,0
259400000,inf,0,0,0,0,0
260400000,inf,0,0,0,0,0
261400000,inf,0,0,0,0,0
262400000,inf,0,0,0,0,0
263400000,inf,0,0,0,0,0
264400000,inf,0,0,0,0,0
265400000,inf,0,0,0,0,0
266400000,inf,0,0,0,0,0
267400000,inf,0,0,0,0,0
268400000,inf,0,0,0,0,0
269404000,inf,0,0,0,0,0
270404000,inf,0,0,0,0,0
271404000,inf,0,0,0,0,0
272404000,inf,0,0,0,0,0
273404000,inf,0,0,0,0,0
274404000,inf,0,0,0,0,0
275404000,inf,0,0,0,0,0
276404000,inf,0,0,0,0,0
277404000,inf,0,0,0,0,0
278404000,inf,0,0,0,0,0
279404000,inf,0,0,0,0,0
280404000,inf,0,0,0,0,0
281404000,inf,0,0,0,0,0
282404000,inf,0,0,0,0,0
283404000,inf,0,0,0,0,0
284404000,inf,0,0,0,0,0
285404000,inf,0,0,0,0,0
286404000,inf,0,0,0,0,0
287404000,inf,0,0,0,0,0
288404000,inf,0,0,0,0,0
289404000,inf,0,0,0,0,0
290404000,inf,0,0,0,0,0
291404000,inf,0,0,0,0,0
292404000,inf,0,0,0,0,0
293404000,inf,0,0,0,0,0
294404000,inf,0,0,0,0,0
295404000,inf,0,0,0,0,0
296404000,inf,0,0,0,0,0
297404000,inf,0,0,0,0,0
298404000,inf,0,0,0,0,0
299404000,inf,0,0,0,0,0
300404000,inf,0,0,0,0,0
301404000,inf,0,0,0,0,0
302404000,inf,0,0,0,0,0
303404000,inf,0,0,0,0,0
304404000,inf,0,0,0,0,0
305404000,inf,0,0,0,0,0
306404000,inf,0,0,0,0,0
307404000,inf,0,0,0,0,0
308404000,inf,0,0,0,0,0
309404000,inf,0,0,0,0,0
310404000,inf,0,0,0,0,0
311404000,inf,0,0,0,0,0
312404000,inf,0,0,0,0,0
313404000,inf,0,0,0,0,0
314404000,inf,0,0,0,0,0
315404000,inf,0,0,0,0,0
316404000,inf,0,0,0,0,0
317404000,inf,0,0,0,0,0
318404000,inf,0,0,0,0,0
319404000,inf,0,0,0,0,0
320404000,inf,0,0,0,0,0
321408000,inf,0,0,0,0,0
322408000,inf,0,0,0,0,0
323408000,inf,0,0,0,0,0
324408000,inf,0,0,0,0,0
325408000,inf,0,0,0,0,0
326408000,inf,0,0,0,0,0
327408000,inf,0,0,0,0,0
328408000,inf,0,0,0,0,0
329408000,inf,0,0,0,0,0
330408000,inf,0,0,0,0,0
331408000,inf,0,0,0,0,0
332408000,inf,0,0,0,0,0
333408000,inf,0,0,0,0,0
334408000,inf,0,0,0,0,0
335408000,inf,0,0,0,0,0
336408000,inf,0,0,0,0,0
337408000,inf,0,0,0,0,0
338408000,inf,0,0,0,0,0
339408000,inf,0,0,0,0,0
340408000,inf,0,0,0,0,0
341408000,inf,0,0,0,0,0
342408000,inf,0,0,0,0,0
343408000,inf,0,0,0,0,0
344408000,inf,0,0,0,0,0
345408000,inf,0,0,0,0,0
346408000,inf,0,0,0,0,0
