timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
135512000,-0.0037225408,-0.10260393,-3.0860822,0.0,-0.027619686,0.05131121,-0.00043501722,0.9983007,0.0,0.0,-0.5780578,1,0,0,0,0,0
135608000,-0.0046107387,-0.09972892,-3.0851638,0.0,-0.028060665,0.049888782,-0.0008954623,0.9983601,0.0,0.0,-0.57763726,1,0,0,0,0,0
135704000,-0.005178892,-0.096041955,-3.0844226,0.0,-0.028423848,0.048056677,-0.0012134389,0.9984394,0.0,0.0,-0.5777366,1,0,0,0,0,0
135800000,-0.007130153,-0.09318931,-3.0836847,0.0,-0.028752357,0.04666107,-0.002211291,0.99849445,0.0,0.0,-0.57809925,1,0,0,0,0,0
135916000,-0.0076561556,-0.09071195,-3.0830588,0.0,-0.029058935,0.045432575,-0.002495719,0.9985416,0.0,0.0,-0.57551104,1,0,0,0,0,0
136016000,-0.005318451,-0.08889362,-3.0824172,0.0,-0.02943596,0.044491164,-0.0013409841,0.9985751,0.0,0.0,-0.5764646,1,0,0,0,0,0
136112000,-0.005747232,-0.08430527,-3.0818815,0.0,-0.029703448,0.042206906,-0.0016118541,0.998666,0.0,0.0,-0.5753962,1,0,0,0,0,0
136208000,-0.0060537043,-0.080641896,-3.0810177,0.0,-0.03013612,0.040382937,-0.0018023044,0.9987281,0.0,0.0,-0.5759613,1,0,0,0,0,0
136304000,-0.005827508,-0.07926802,-3.0801265,0.0,-0.030588567,0.039694216,-0.0016925277,0.99874216,0.0,0.0,-0.5755888,1,0,0,0,0,0
136420000,-0.006141094,-0.07613511,-3.0788815,0.0,-0.031210773,0.038135663,-0.0018736686,0.99878335,0.0,0.0,-0.5746128,1,0,0,0,0,0
136516000,-0.0053867525,-0.07243411,-3.0814555,0.0,-0.029946756,0.036273558,-0.0016018004,0.99889183,0.0,0.0,-0.5725435,1,0,0,0,0,0
136616000,-0.00257197,-0.07900994,-3.1222963,0.0,-0.009589686,0.03950522,-0.0009038765,0.999173,0.0,0.0,-0.5718654,1,0,0,0,0,0
136712000,-0.0035098519,-0.11574282,-3.1312575,0.0,-0.0050573763,0.057847295,-0.0014530784,0.9983116,0.0,0.0,-0.5717628,1,0,0,0,0,0
136808000,-0.003108387,-0.18184851,-3.131397,0.0,-0.0049356194,0.09080563,-0.0010848781,0.9958558,0.0,0.0,-0.57650214,1,0,0,0,0,0
136904000,-0.0044235853,-0.26983744,-3.1315205,0.0,-0.004692768,0.13451879,-0.0015142665,0.9908988,0.0,0.0,-0.58012766,1,0,0,0,0,0
137020000,-0.00334558,-0.36941448,-3.1315978,0.0,-0.004605196,0.18366443,-0.0007264948,0.982978,0.0,0.0,-0.5871128,1,0,0,0,0,0
137116000,-0.0060513504,-0.42393783,-3.1316636,0.0,-0.0042168424,0.21039627,-0.0019134576,0.9776052,0.0,0.0,-0.5950734,1,0,0,0,0,0
137216000,-0.0043954207,-0.45212984,-3.1316876,0.0,-0.0043338644,0.22415161,-0.001031695,0.9745441,0.0,0.0,-0.60239565,1,0,0,0,0,0
137312000,-0.0057418332,-0.4763942,-3.131742,0.0,-0.004108834,0.23596092,-0.0016276921,0.9717525,0.0,0.0,-0.61661166,1,0,0,0,0,0
137408000,-0.0074103675,-0.4950284,-3.1317601,0.0,-0.003858652,0.2450077,-0.0023877681,0.9695105,0.0,0.0,-0.6253011,1,0,0,0,0,0
137504000,-0.0076806797,-0.507287,-3.1318026,0.0,-0.003774722,0.2509459,-0.0024890997,0.9679905,0.0,0.0,-0.6321224,1,0,0,0,0,0
137600000,-0.006796028,-0.49847278,-3.1317904,0.0,-0.003911485,0.24667574,-0.0020840531,0.96908796,0.0,0.0,-0.6353206,1,0,0,0,0,0
137720000,-0.007518302,-0.46012643,-3.1317177,0.0,-0.003950119,0.22805272,-0.002534124,0.9736375,0.0,0.0,-0.63870144,1,0,0,0,0,0
137816000,-0.007648576,-0.41752407,-3.1316996,0.0,-0.0040465244,0.20726342,-0.0027160458,0.97827303,0.0,0.0,-0.6398324,1,0,0,0,0,0
137912000,-0.0060800533,-0.37987897,-3.131568,0.0,-0.004348215,0.18881117,-0.002038991,0.9820017,0.0,0.0,-0.6389902,1,0,0,0,0,0
138008000,-0.006592544,-0.34202302,-3.1314204,0.0,-0.004450952,0.17019258,-0.002382595,0.9853979,0.0,0.0,-0.6328192,1,0,0,0,0,0
138104000,-0.005650136,-0.3058239,-3.1312172,0.0,-0.0046968325,0.15232857,-0.0020018953,0.9883167,0.0,0.0,-0.62408084,1,0,0,0,0,0
138220000,-0.0052102846,-0.27906045,-3.1309788,0.0,-0.004892986,0.1390892,-0.001841716,0.9902661,0.0,0.0,-0.6241238,1,0,0,0,0,0
138316000,-0.0050586127,-0.27799883,-3.130647,0.0,-0.0050695897,0.13856344,-0.0017466011,0.9903391,0.0,0.0,-0.616094,1,0,0,0,0,0
138416000,-0.0041637714,-0.28251892,-3.130309,0.0,-0.005292434,0.14079922,-0.0012668143,0.9900232,0.0,0.0,-0.6144664,1,0,0,0,0,0
138512000,-0.003283624,-0.28544235,-3.1299045,0.0,-0.005551091,0.14224404,-0.0007938525,0.9898157,0.0,0.0,-0.6101787,1,0,0,0,0,0
