timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
209212000,32767,32767,32767,32767,0,0,32767
209220000,32767,32767,32767,32767,0,0,32767
209224000,32767,32767,32767,32767,32767,32767,32767
209228000,32767,32767,32767,32767,32767,32767,32767
209232000,32767,32767,32767,32767,0,0,32767
209236000,32767,32767,32767,32767,32767,32767,32767
209244000,32767,32767,32767,32767,32767,32767,32767
209248000,32767,32767,32767,32767,32767,32767,32767
209252000,32767,32767,32767,32767,0,0,32767
209256000,32767,32767,32767,32767,32767,32767,32767
209260000,32767,32767,32767,32767,32767,0,32767
209264000,32767,32767,32767,32767,-40,32767,32767
209268000,32767,32767,32767,32767,32767,32767,32767
209272000,32767,32767,32767,32767,0,0,32767
209276000,32767,32767,32767,32767,32767,32767,32767
209280000,32767,32767,32767,32767,0,0,32767
209288000,32767,32767,32767,32767,32767,32767,32767
209292000,32767,32767,32767,32767,0,0,32767
209296000,32767,32767,32767,32767,32767,32767,32767
209300000,32767,32767,32767,32767,32767,32767,32767
209304000,32767,32767,32767,32767,-40,-40,32767
209308000,32767,32767,32767,32767,32767,32767,32767
209312000,32767,32767,32767,32767,0,0,32767
209316000,32767,32767,32767,32767,32767,32767,32767
209320000,32767,32767,32767,32767,0,0,32767
209324000,32767,32767,32767,32767,32767,32767,32767
209328000,32767,32767,32767,32767,32767,32767,32767
209332000,32767,32767,32767,32767,0,0,32767
209336000,32767,32767,32767,32767,32767,32767,32767
209340000,32767,32767,32767,32767,0,0,32767
209344000,32767,32767,32767,32767,32767,32767,32767
209348000,32767,32767,32767,32767,32767,32767,32767
209352000,32767,32767,32767,32767,0,0,32767
209356000,32767,32767,32767,32767,32767,32767,32767
209360000,32767,32767,32767,32767,0,0,32767
209364000,32767,32767,32767,32767,32767,32767,32767
209368000,32767,32767,32767,32767,32767,32767,32767
209372000,32767,32767,32767,32767,0,0,32767
209376000,32767,32767,32767,32767,32767,32767,32767
209384000,32767,32767,32767,32767,32767,32767,32767
209392000,32767,32767,0,32767,0,0,32767
209396000,32767,32767,32767,32767,32767,32767,32767
209400000,32767,32767,32767,32767,0,0,32767
209404000,32767,32767,32767,32767,32767,32767,32767
209408000,32767,32767,32767,32767,32767,32767,32767
209412000,32767,32767,32767,32767,0,0,32767
209416000,32767,32767,32767,32767,32767,32767,32767
209420000,32767,32767,32767,32767,0,0,32767
209424000,32767,32767,32767,32767,32767,32767,32767
209428000,32767,32767,32767,32767,32767,32767,32767
209436000,32767,32767,32767,32767,32767,32767,32767
209444000,32767,32767,32767,32767,32767,32767,32767
209448000,32767,32767,32767,32767,32767,32767,32767
209452000,32767,32767,32767,32767,0,0,32767
209460000,32767,32767,32767,32767,0,0,32767
209464000,32767,32767,32767,32767,32767,32767,32767
209468000,32767,32767,32767,32767,32767,32767,32767
209472000,32767,32767,32767,32767,0,0,32767
209480000,32767,32767,32767,32767,0,0,32767
209484000,32767,32767,32767,32767,32767,32767,32767
209488000,32767,32767,32767,32767,32767,32767,32767
209492000,32767,32767,32767,32767,0,0,32767
209496000,32767,32767,32767,32767,32767,32767,32767
209500000,32767,32767,32767,32767,0,0,32767
209504000,32767,32767,32767,32767,32767,32767,32767
209508000,32767,32767,32767,32767,32767,32767,32767
209512000,32767,32767,32767,32767,0,0,32767
209516000,32767,32767,32767,32767,32767,32767,32767
209520000,32767,32767,32767,32767,0,0,32767
209524000,32767,32767,32767,32767,32767,32767,32767
209528000,32767,32767,32767,32767,32767,32767,32767
209532000,32767,32767,32767,32767,0,0,32767
209536000,32767,32767,32767,32767,32767,32767,32767
209540000,32767,32767,32767,32767,0,0,32767
209544000,32767,32767,32767,32767,32767,32767,32767
209548000,32767,32767,32767,32767,32767,32767,32767
209556000,32767,32767,32767,32767,32767,32767,32767
209560000,32767,32767,32767,32767,0,0,32767
209564000,32767,32767,32767,32767,32767,32767,32767
209568000,32767,32767,32767,32767,32767,32767,32767
